name,mass,radius,distance
Eta Carinae,"07,500",100,60–881
Delta Cephei,0887,4.5,44.5
Mu Cephei,"06,000",19.2,972
Titawin,044.25,1.27,1.48
Rho Cassiopeiae,"08,154",22,636-981
P Cygni,"05,545",30,76
VV Cephei,"04,900",18.2,"516 - 1,050"
61 Cygni,011.41,0.7,0.665
R Doradus,0178,0.7 - 1.0,298
Polaris Australis,0281,1.59,3.74
R Coronae Borealis,"04,566",0.85,85
54 Piscium,036.1,0.76,0.94
Mira,0300,1.2,370
RW Cephei,"014,000",13.9,"1,158"
Lacaille 8760,012.87,0.6,0.51
V838 Monocerotis,"019,896",?,380 - 750
HD 140283,0190,?,1.4
II Pegasi,0130,0.8,3.4
VY Canis Majoris,"03,900",17,"1,420"
Pistol Star,"025,000",100,320
S Doradus,"0169,000",24,380
UY Scuti,"05,100",7–10,755
Barnard's Star,05.98,0.14,0.20
Luhman 16,06.52,0.04,?
Proxima Centauri,04.25,0.12,0.15
KIC 8462852,"01,470",1.43,1.58
R136a1,"0163,000",290,32
Melnick 42,"0163,000",189,21.1
WR 102,"018,134",19,0.39
VFTS 352,"0164,000",57.48,14.47
YBP 1194,"02,772",1.01,0.99
Gliese 1214,047.5,0.16,0.21
NML Cygni,"05,251",50,"1,640 - 2,770"
VB 10,018.72,0.075,0.10
WOH G64,"0163,000",<20,"1,540 - 1,730"
TRAPPIST-1,039.6,0.089,0.12
2MASS J0523-1403,040.3,0.07,0.086
WISE 0855−0714,07.27,0.003,?
Icarus,"014,400,000,000",33,?
